127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.002197
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002061
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.002054
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.001765
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000497
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001240
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001468
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.002069
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003785
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.002067
127.0.0.1, 2019-08-18 18:19:42, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003657
127.0.0.1, 2019-08-18 18:19:43, GET, /favicon.ico, HTTP/1.1, 400, 0.000523
127.0.0.1, 2019-08-18 18:19:46, POST, /admin/default/index, HTTP/1.1, 303, 0.008949
127.0.0.1, 2019-08-18 18:19:46, GET, /admin/default/site, HTTP/1.1, 200, 0.038989
127.0.0.1, 2019-08-18 18:19:46, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.001104
127.0.0.1, 2019-08-18 18:19:46, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000462
127.0.0.1, 2019-08-18 18:19:46, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000381
127.0.0.1, 2019-08-18 18:19:46, POST, /admin/default/check_version, HTTP/1.1, 200, 0.467474
127.0.0.1, 2019-08-18 18:19:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000216
127.0.0.1, 2019-08-18 18:19:49, GET, /welcome/default/index, HTTP/1.1, 200, 0.018206
127.0.0.1, 2019-08-18 18:19:49, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000270
127.0.0.1, 2019-08-18 18:19:51, GET, /admin/default/index, HTTP/1.1, 303, 0.001964
127.0.0.1, 2019-08-18 18:19:51, GET, /admin/default/site, HTTP/1.1, 200, 0.022298
127.0.0.1, 2019-08-18 18:19:51, GET, /favicon.ico, HTTP/1.1, 400, 0.000208
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/default/index, HTTP/1.1, 200, 0.104164
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001220
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.000758
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.002491
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/css/calendar.css, HTTP/1.1, 200, 0.002275
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/js/calendar.js, HTTP/1.1, 200, 0.001815
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/js/web2py.js, HTTP/1.1, 200, 0.001733
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/js/jquery.js, HTTP/1.1, 200, 0.003781
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.001519
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000494
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/images/background.jpg, HTTP/1.1, 404, 0.000388
127.0.0.1, 2019-08-18 18:19:53, GET, /lalala/static/images/favicon.ico, HTTP/1.1, 200, 0.000354
127.0.0.1, 2019-08-18 18:19:56, GET, /admin/default/index, HTTP/1.1, 303, 0.002056
127.0.0.1, 2019-08-18 18:19:56, GET, /admin/default/site, HTTP/1.1, 200, 0.030567
127.0.0.1, 2019-08-18 18:19:56, GET, /favicon.ico, HTTP/1.1, 400, 0.000337
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/default/index, HTTP/1.1, 200, 0.006267
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.002770
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.002147
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.002428
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.003432
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.001515
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.001107
127.0.0.1, 2019-08-18 18:19:57, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000496
